Stein,Herkunft,Besonderheit,Qualität,Farbe,transparent,Schliff,Cut/Rough,Karat,Abmessung,Anmerkung,Versand, Preis,Anzahl,Summe  Karat,Preis/Karat,,,,,,,,,
Tansanit,Tansania,2x,VVS,,transparent,Tropfen,Cut,"7,2",11.5 x8.2 11.5 x8.1,"443,89","61,65",,,,,1,,,,,,,,"665,84"
Tansanit,Tansania,,VVS,,transparent,Tropfen,Cut,"7,32","15,78x10,40x6,81",460,"62,84",x,450,,,1,,,,,,,,690
Tansanit,Tansania,,IF ,,transparent,Oval,Cut,"7,34","13,34x10,35x7,53","395,78","53,92",,,,,1,,,,,,,,"593,67"
Tansanit,Tansania,,VVS,,transparent,Tropfen,Cut,"7,34","14,9x10,4x7,15","477,25","65,02",x,500,,,1,,,,,,,,"715,88"
Tansanit,Tansania,,IF ,,transparent,oval,Cut,"7,46","15,39x11,36x6,48","301,88","40,47",,,,,1,,,,,,,,"452,82"
Tansanit,Tansania,,VVS,,transparent,Kissen,Cut,"8,19",13.6x10.2x7.3,"611,32","74,64",,,,,1,,,,,,,,"916,98"
Tansanit,Tansania,,IF ,,transparent,Kissen,Cut,"8,48","13,9x10x7,1","1292,04","152,36",,,,,1,,,,,,,,"1938,06"
Tansanit,Tansania,,IF ,,transparent,Oval,Cut,"8,58","14,09x10,56x7,22","432,76","50,44",,,,,1,,,,,,,,"649,14"
Tansanit,Tansania,,IF ,,transparent,Oktagon,Cut,"15,19","13,53x13,13x8,76","1194,54","78,64",,,,,1,,,,,,,,"1791,81"
Topas,Tansania,No treatment,,weiss,transpartent,,Rough,"10,3",,11,"1,07",,,,,,,,,,,,,
Turmalin,Tansania,Chrom,VVS,Grün ,transparent,rund,Cut,"0,92","6,1x4,1",140,"152,17",,,,,1,,,,,,,,210
Turmalin,Mozambique,Kupfer,vs,blau,transparent,Kissen,Cut,"1,16","7,3x5x4",65,"56,03",,,,,1,,,,,,,,"97,5"
Turmalin,Tansania,,VVS,Pink-violett,transparent,Oval,Cut,"1,66",,,0,,,,"1,1","2,96",,,inert,,Orange-violett,,,
Turmalin,Mozambique,,IF ,,transparent,Oval,Cut,"1,67",8.05x6.10x4.70,"15,09","9,04",, ,,,1,,,,,,,,"22,64"
Turmalin,Mozambique,,VVS,Grün ,transparent,Oval,Cut,"1,91","6,8x7,5x5,3","34,43","18,03",,,,,1,,,,,,,,"51,65"
Turmalin,Mozambique,,VVS,blau,transparent,Oktagon,Cut,"1,93","10,4x4,7x4","93,89","48,65",,,,,1,,,,,,,,"140,84"
Turmalin,Brasilien,,VS,Blau ,transparent,Oktagon,Cut,2,10x6,"26,65","13,33",,,,,1,,,,,,,,"39,98"
Turmalin,Mozambique,,VVS,Blau-grün,transparent,Smaragd,Cut,"2,02","7x6,5x5",100,"49,5",,,,,1,,,,,,,,150
Turmalin,Mozambique,,VVS,,transparent,Oktagon,Cut,"2,05","11,35x4,65x3,75","12,98","6,33",,,,,1,,,,,,,,"19,47"
Turmalin,Tansania,,VVS,Grün ,transparent,Kissen,Cut,"2,11","8,5x6,9x5",120,"56,87",,,,,1,,,,,,,,180
Turmalin,Mozambique,Kupfer,vs,blau,transparent,Smaragd,Cut,"2,12","12,3x4,8x3,8","175,76","82,91",,,,,1,,,,,,,,"263,64"
Turmalin,Mozambique,,VVS,,transparent,Rund,Cut,"2,29","8,1x7,7x5,4","46,53","20,32",,,,,1,,,,,,,,"69,8"
Turmalin,Brasilien,,VS,Blau-grün,transparent,Oktagon,Cut,"2,34","8,20x6,90x4,70","89,37","38,19",,,,,1,,,,,,,,"134,06"
Turmalin,Mozambique,,VVS,Rot ,transparent,oval,Cut,"2,36","9x7x5,3",110,"46,61",,,,,1,,,,,,,,165
Turmalin,Vietnam,,VS,grün,transparent,Fancy,Cut,"2,36",,8,"3,39",,,,,,,,,,,,,
Turmalin,Mozambique,Kupfer,VS,Blau-grün,transparent,oval,Cut,"2,39","9,04x6,97x5,00","624,85","261,44",,,,,1,,,,,,,,"937,28"
Turmalin,Mozambique,,VVS,Bläulich-Grün ,transparent,oval,Cut,"2,46","9x6,9x5,5",130,"52,85",,,,,1,,,,,,,,195
Turmalin,Mozambique,,SI,Violett,transparent,oval,Cut,"2,47","10,1x8,6x4,3","37,23","15,07",,,,,1,,,,,,,,"55,85"
Turmalin,Mozambique,,vvs,Pink-violett,transparent,Smaragd,Cut,"2,58","8.3x8,1x5,7",190,"73,64",,,,,1,,,,,,,,285
Turmalin,Mozambique,,VVS,Grün ,transparent,oval,Cut,"2,6","8,7x7,8x5,9",190,"73,08",,,,,1,,,,,,,,285
Turmalin,Mozambique, ,VVS,grün,transparent,Kissen,Cut,"2,62",9x8x6,190,"72,52",Ebay 31.12.23,220,"576,4",,,,,,,,,,
Turmalin,Mozambique,,VVS,pink ,transparent,oval,Cut,"2,8","10x8,8x5,3",65,"23,21",,,,,1,,,,,,,,"97,5"
Turmalin,Mozambique,,VVS,Rot ,transparent,oval,Cut,"2,98","12x9x4,9",65,"21,81",,,,,1,,,,,,,,"97,5"
Turmalin,Tansania,,VVS,Grün ,transparent,Kissen,Cut,"2,98",10x8x5,150,"50,34",,,,,1,,,,,,,,225
Turmalin,Tansania,,VVS,Pink-violett,transparent,Oval,Cut,3,,,0,,,,2,3,,,inert,,Orange-violett,,,
Turmalin,Nigeria,,VVS,Grün ,transparent,Oktagon,Cut,"3,15","5,8x4,1x4,1","54,73","17,37",,,,,1,,,,,,,,"82,1"
Turmalin,Mozambique,Rubellit,VS,rot,transparent,Kissen,Cut,"3,18","10x8,2x4,5",100,"31,45",Ebay 31.12.23,200,636,,,,,,,,,,
Turmalin,Brasilien,Indigolith,IF ,,transparent,Oktagon,Cut,"3,2","10,63x5,39x6,29","141,24","44,14",,,,,1,,,,,,,,"211,86"
Turmalin,Nigeria,Rubellit,VVS,Rot ,transparent,Kissen,Cut,"3,2",9x7x5,"441,38","137,93",,,,,1,,,,,,,,"662,07"
Turmalin,Tansania,No treatment,,gelb,transpartent,,Rough,"3,2",,"9,9","3,09",,,,,,,,,,,,,
Turmalin,Brasilien,,VVS,Pink-grün,transparent,oval,Cut,"3,22","9x7,6x7",140,"43,48",,,,,1,leichtes orange rot,,,,,,,210
Turmalin,Mozambique,,VVS,Pink-violett,transparent,Tropfen,Cut,"3,36",15x8x5,315,"93,75",,,,,1,,,,,,,,"472,5"
Turmalin,Brasilien,Wassermelone,VS,,transparent,Oktagon,Cut,"3,58",13x6,"70,04","19,56",,,,,1,,,,,,,,"105,06"
Turmalin,Mozambique,,vs,Rot ,transparent,oval,Cut,"3,78","16x10x4,9",60,"15,87",,,,,1,,,,,,,,90
Turmalin,Tansania,,VVS,Pink-violett,transparent,Oval,Cut,"3,78",,,0,,,,"2,54","3,05",,,inert,,Orange-violett,,,
Turmalin,Tansania,No treatment,,gelb,transpartent,,Rough,"3,8",,"11,8","3,11",,,,,,,,,,,,,
Turmalin,Tansania,Rohstein,VVS,Grün ,transparent,,Rough,"3,85",,50,"12,99",,,,,1,,,,,,,,75
Turmalin,Tansania,Rohstein,VVS,Grün ,transparent,,Rough,4,,40,10,,,,,1,,,,,,,,60
Turmalin,Tansania,Farbwechsel,VVS,Gelb-grün,transparent,Tropfen,Cut,"4,14",15x9x5,200,"48,31","Chrom, DSEF",,,,1,,,,,,,,300
Turmalin,Tansania,Rohstein,VVS,Grün ,transparent,,Rough,"4,25",,40,"9,41",,,,,1,,,,,,,,60
Turmalin,Nigeria,,VVS,Blau-grün,transparent,Smaragd,Cut,"4,36","8x10x5,6",135,"30,96",,,,,1,,,,,,,,"202,5"
Turmalin,Tansania,Rohstein,VVS,Orange,transparent,,Rough,"4,45",,40,"8,99",,,,,1,,,,,,,,60
Turmalin,Tansania,Rohstein,VVS,Orange,transparent,,Rough,"4,65",,40,"8,6",,,,,1,,,,,,,,60
Turmalin,Nigeria,,VVS,blau,transparent,Smaragd,Cut,5,"18,8x5,5x4,6",292,"58,4",Ebay 31.12.23,500,2500,,1,,,,,,,,438
Turmalin,Mozambique,,IF ,,transparent,oval,Cut,"5,2",11.80x9.80x5.85,"37,15","7,14",Ebay,"39,99","2,84",,1,,,,,,,,"55,73"
Turmalin,Mozambique,,VVS,Grün ,transparent,oval,Cut,"5,56","11,7x10,1x7,2",180,"32,37",,,,,1,,,,,,,,270
Turmalin,Tansania,Rohstein,VVS,Orange,transparent,,Rough,"5,6",,50,"8,93",,,,,1,,,,,,,,75
Turmalin,Mozambique,,IF ,,transparent,Scherenschliff,Cut,"5,74","22x6x4,5",145,"25,26",,,,,1,,,,,,,,"217,5"
Turmalin,Mozambique,,IF ,,transparent,Oktagon,Cut,"6,4","21x6,8x4,6","77,04","12,04",,,,,1,,,,,,,,"115,56"
Turmalin,Nigeria,,IF ,Grün ,transparent,oval,Cut,"6,56","13x10,5x8",150,"22,87",,,,,1,,,,,,,,225
Turmalin,Tansania,No treatment,,gelb,transpartent,,Rough,"6,8",,"21,1","3,1",,,,,,,,,,,,,
Turmalin,Tansania,No treatment,,gelb,transpartent,,Rough,7,,"21,7","3,1",,,,,,,,,,,,,
Turmalin,Tansania,Rohstein,VVS,Orange,transparent,,Rough,"7,35",,50,"6,8",,,,,1,,,,,,,,75
Turmalin,Tansania,Chrom,,grün,transpartent,,Rough,"7,6",,"96,9","12,75",Chrom Turmalin,,,,,,,,,,,,
Turmalin,Vietnam,,VS,pink,transparent,Kissen,Cut,"7,66",,340,"44,39",,,,,,,,,,,,,
Turmalin,Tansania,Rohstein/Chrom,I ,Grün ,transparent,,Rough,"8,3",,50,"6,02",,,,,1,,,,,,,,75
Turmalin,Tansania,Chrom,,grün,transpartent,,Rough,9,,175,"19,44",,,,,,,,,,,,,
Turmalin,Tansania,Chrom,,grün,transpartent,,Rough,"10,95",,170,"15,53",,,,,,,,,,,,,
Turmalin,Tansania,Rohstein,vs,Grün-rot,transparent,,Rough,"12,3",,50,"4,07",,,,,1,,,,,,,,75
Turmalin,Kongo,Rohstein,,Pink-orange,transparent,,Rough,"12,78",25x8x6,180,"14,08",,,,"8,55","3,02",,,,,,,,270
Turmalin,Kongo,Rohstein,bicolor,Rot-grün,transparent,,Rough,"16,64","25,5x8,5x7,5",270,"16,23",,,,"11,15","3,03",,,,,,,,405
Turmalin,Kongo,Rohstein,tricolor,Grün-gelb-pink,transparent,,Rough,"23,5",44x8x7,400,"17,02",,,,"15,7","3,01",,,,,,,,600
Turmalin,Tansania,No treatment,,Orange-gelb,transpartent,,Rough,"24,5",,"62,2","2,54",2 Stck,,,,,,,,,,,,
Turmalin,Nigeria,Rohstein,VVS,pink/orange,transparent,,Rough,29,,100,"3,45",,,,,1,,,,,,,,150
Turmalin,Nigeria,Rohstein,VVS,Grün-pink,transparent,,Rough,"31,38",,865,"27,57",,,,"21,05","3,04",,,,,,,,"1297,5"
Zirkon,Tansania,,VVS,,transparent,oval,Cut,"2,24","8x6,5x4","7,64","3,41",,,,,1,,,,,,,,"11,46"
Zirkon,Tansania,,VVS,,transparent,Oval,Cut,"2,41","8,5x6,5x4","8,98","3,73",,,,,1,,,,,,,,"13,47"
Zirkon,Tansania,Farbwechsel,VVS,Pink-rot,transparent,Oktagon,Cut,"2,84","9,6x5,6x3,7","30,71","10,81",,,,,1,mittleres orange gelb,,,,,,,"46,07"
Zirkon,Sri Lanka,,SI,Grün ,transparent,Kissen,Cut,"2,84","8,86x7,86x4,35",135,"47,54",Ebay 31.12.23,120,"340,8",,1,,,,,,,,"202,5"
Zirkon,Kambodscha,,VS,blau,transparent,Oval,Cut,"3,11",10x6,"35,52","11,42",,,,,1,,,,,,,,"53,28"
Zirkon,Tansania,,IF ,,transparent,Oval,Cut,"3,15","9,60x6,8x4,6","32,97","10,47",,,,,1,,,,,,,,"49,46"
Zirkon,Kambodscha,,VVS,,transparent,Oval,Cut,"3,3","8,32x6,76x5,43","31,93","9,68",,,,,1,,,,,,,,"47,9"
Zirkon,Kambodscha,,VVS,,transparent,Oval,Cut,"3,7","9,32x7,26x4,94","21,96","5,94",,,,,1,,,,,,,,"32,94"
Zirkon,Kambodscha,,IF ,,transparent,oval,Cut,"3,75","8,3x7,2x6","30,65","8,17",,,,,1,,,,,,,,"45,98"
Zirkon,Kambodscha,,IF ,,transparent,oval,Cut,"3,75","8,3x7,2x6,0","35,08","9,35",,,,,1,,,,,,,,"52,62"
Zirkon,Kambodscha,,VVS,,transparent,Oval,Cut,"3,77","8,19x6,53x6,44","50,06","13,28",,,,,1,,,,,,,,"75,09"
Zirkon,Kambodscha,,IF ,blau,transparent,oval,Cut,"3,79","8,7x6,5x5,9","35,08","9,26",ebay,140,"104,92",,1,,,,,,,,"52,62"
Zirkon,Kambodscha,,IF ,,transparent,oval,Cut,"3,8",9.6x7.6x5.5,"31,26","8,23",,,,,1,,,,,,,,"46,89"
Zirkon,Tansania,,IF ,,transparent,Scherenschliff,Cut,"3,87",9.7x6.2x4.9,"59,6","15,4",,,,,1,,,,,,,,"89,4"
Zirkon,Kambodscha,,VVS,,transparent,oval,Cut,"4,25","10,00x7,40x5,10","49,18","11,57",,,,,1,,,,,,,,"73,77"
Zirkon,Kambodscha,,VVS,,transparent,Tropfen,Cut,"4,28","10,90x9,30x4,10","32,79","7,66",,,,,1,,,,,,,,"49,19"
Zirkon,Kambodscha,,VVS,,transparent,oval,Cut,"4,3","9,77x8,12x4,82","8,08","1,88",,,,,1,,,,,,,,"12,12"
Zirkon,Tansania,,IF ,,transparent,oval,Cut,"4,3","10,4x7,5x4,69","39,25","9,13",,,,,1,,,,,,,,"58,88"
Zirkon,Kambodscha,,VVS,,transparent,Tropfen,Cut,"4,6","8,69x7,63x6,78","19,6","4,26",,,,,1,,,,,,,,"29,4"
Zirkon,Kambodscha,,VS,,transparent,oval,Cut,"4,74","9,38x7,25x6","35,76","7,54",,,,,1,,,,,,,,"53,64"
Zirkon,Tansania,,IF ,,transparent,oval,Cut,"5,1","10,7x7,6x6,4","55,18","10,82",,,,,1,,,,,,,,"82,77"
Zirkon,Kambodscha,,VVS,,transparent,Smaragd,Cut,"5,19","11,31x5,90x6,13","53,93","10,39",,,,,1,,,,,,,,"80,9"
Zirkon,Kambodscha,,VVS,blau,transparent,Kissen,Cut,"5,71","9,4x6,5x7,8","203,31","35,61",,,,,,,,,,,,,
Zirkon,Kambodscha,Hitze behandelt,VVS,blau,transparent,oval,Cut,"5,95","12,29x7,64x5,92","210,03","35,3",,,,,,,,,,,,,
Zirkon,Tansania,,vvs,gelb,transparent,Kissen,Cut,"5,98","11,4x9x5,8",86,"14,38",,,,,1,,,,,,,,129
Zirkon,Tansania,,VVS,Rot ,transparent,Kissen,Cut,"6,67","10x8,9x6",175,"26,24",,,,,1,,,,,,,,"262,5"
Zirkon,Kambodscha,,VVS,gelb,transparent,Oval,Cut,"6,68","9x11x6,5",121,"18,11",,,,"5,25","4,67",,,,,,,,"181,5"
Zirkon,Kambodscha,Hitze behandelt,VVS,blau,transparent,Oval,Cut,"7,15","12,6x9,3x5,4",176,"24,62",,,,,,,,,,,,,
Zirkon,Kambodscha,,VVS,blau,transparent,Tropfen,Cut,"7,16","12,3x9x7,5",90,"12,57",Ebay 31.12.23,60,"429,6",,,,,,,,,,
Zirkon,Kambodscha,,VVS,Rot ,transparent,Tropfen,Cut,"7,17","12,36x9,01x7,48","78,63","10,97",,,,,1,,,,,,,,"117,95"
Zirkon,Tansania,,IF ,,transparent,Trilliant,Cut,"7,3","10,8x10,8x7,5","119,54","16,38",,,,,1,,,,,,,,"179,31"
Zirkon,Kambodscha,,VVS,blau,transparent,Kissen,Cut,"7,32",,250,"34,15",,,,,1,,,,,,,,
Zirkon,Kambodscha,Hitze behandelt,VVS,blau,transparent,Kissen,Cut,"7,32","10,1x8,7x7,2","224,85","30,72",,,,,,,,,,,,,
Zirkon,Sri Lanka,,si,Grün ,transparent,Fancy,Cut,"8,1","11,5x11,3x8",137,"16,91",,,,,1,,,,,,,,"205,5"
Zirkon,Tansania,Rohstein,VVS,Rot ,transparent,,Rough,"9,18",,20,"2,18",,,,,1,,,,,,,,30
Zirkon,Kambodscha,Hitze behandelt,IF,blau,transparent,Oktagon,Cut,"10,17","12,7x7,2x8x01","350,94","34,51",,,,,,,,,,,,,
Zirkon,Kambodscha,6 Ratanakiri Zirkone,VVS,blau,transparent,"rund, oval",Cut,"12,9",,200,"15,5",,,,,,,,,,,,,
Zirkon,Tansania,Rohstein,VVS,Rot ,transparent,,Rough,"15,6",,35,"2,24",,,,,1,,,,,,,,"52,5"
Zirkon,Tansania,Rohstein,VVS,Rot ,transparent,,Rough,"15,74",,35,"2,22",,,,,1,,,,,,,,"52,5"
Zirkon,Tansania,Rohstein,VVS,Rot ,transparent,,Rough,"16,62",,40,"2,41",,,,,1,,,,,,,,60
Zultanit,Türkei,Farbwechsel,VVS,,transparent,Oval,Cut,1,7.60x5.30x3.10,"10,25","10,25",, ,,,1,,,,,,,,"15,38"
Zultanit,Türkei,Farbwechsel,IF ,,transparent,Oktagon,Cut,"1,01","8,25x4,10x3,10","7,97","7,89",Ebay,"31,49","23,52",,1,,,,,,,,"11,96"
Zultanit,Türkei,Farbwechsel,IF ,,transparent,Oval,Cut,"1,14","7,9x5,55x3,45","10,89","9,55",,,,,1,,,,,,,,"16,34"
Zultanit,Türkei,Farbwechsel,VVS,,transparent,Oktagon,Cut,"1,29",8.46 x 5.19 x 3.02,"9,62","7,46",,,,,1,,,,,,,,"14,43"
Zultanit,Türkei,Farbwechsel,VVS,,transparent,Oktagon,Cut,"1,31","7,85x5,55x3,10","20,24","15,45",,,,,1,,,,,,,,"30,36"
Zultanit,Türkei,Farbwechsel,VVS,,transparent,Kissen,Cut,"1,35","8,55x5,00x3,15","20,82","15,42",'–,'–,,,1,,,,,,,,"31,23"
Zultanit,Türkei,Farbwechsel,VVS,Grün-orange,transparent,rund,Cut,"1,58","7,46x7,46x4,06","42,09","26,64",,,,,1,,,,,,,,"63,14"
Zultanit,Türkei,2x,VVS,Grün-orange,transparent,,Cut,"1,59",8x7,"53,45","33,62",,,,,1,,,,,,,,"80,18"
Zultanit,Türkei,Farbwechsel,VVS,,transparent,Oval,Cut,"1,66","9,30x5,00x3,85","12,65","7,62",,,,,1,,,,,,,,"18,98"
Zultanit,Türkei,Farbwechsel,IF ,,transparent,Trilliant,Cut,"1,67",8,499,"298,8",uv,,,,1,,,,,,,,"748,5"
Zultanit,Türkei,Farbwechsel,VVS,,transparent,Oktagon,Cut,"1,68","9,95x4,85x3,10","16,16","9,62",,,,,1,,,,,,,,"24,24"
Zultanit,Türkei,Farbwechsel,VS,,transparent,Oktagon,Cut,"2,09","13,9x5,4x2,8","35,13","16,81",,,,,1,,,,,,,,"52,7"
Zultanit,Türkei,Farbwechsel,IF ,,transparent,Oktagon,Cut,"2,19",14.35x4.10x3.50,"24,03","10,97",Ebay,"29,99","5,96",,1,,,,,,,,"36,05"
Zultanit,Türkei,Farbwechsel,VVS,,transparent,Oktagon,Cut,"2,2",7.55x6.70x3.95,"83,16","37,8",,,,,1,,,,,,,,"124,74"
Zultanit,Türkei,Farbwechsel,VVS,,transparent,Oktagon,Cut,"2,2","7,55x6,70x3,95","76,09","34,59",,,,,1,,,,,,,,"114,14"
Zultanit,Türkei,Farbwechsel,VVS,Grün-orange,transparent,Oktagon,Cut,"2,38","12,00x4,80x3,80","20,33","8,54",,60,,,1,,,,,,,,"30,5"
Zultanit,Türkei,Farbwechsel,VVS,Grün-orange,transparent,Kissen,Cut,"2,42","8,45x6,40x4,55","57,74","23,86",,,,,1,,,,,,,,"86,61"
Zultanit,Türkei,Farbwechsel,VVS,Grün-orange,transparent,oval,Cut,"2,46","8,90x7,05x4,79","30,71","12,48",,,,,1,,,,,,,,"46,07"
Zultanit,Türkei,Farbwechsel,VVS,Grün-orange,transparent,oval,Cut,"2,55","9,21x6,77x4,87","53,99","21,17",,,,,1,,,,,,,,"80,99"
Zultanit,Türkei,Farbwechsel,VS,,transparent,Oval,Cut,"2,73","8,80x7,60x5,20","43,92","16,09",,,,,1,,,,,,,,"65,88"
Zultanit,Türkei,Farbwechsel,VVS,Grün-orange,transparent,Fancy,Cut,"2,74",11x7,"33,54","12,24",,,,,1,,,,,,,,"50,31"
Zultanit,Türkei,Farbwechsel,VVS,Grün-orange,transparent,rund,Cut,"2,77","8x8x5,5","57,37","20,71",,,,,1,,,,,,,,"86,06"
Zultanit,Türkei,Farbwechsel,VVS,Grün-orange,transparent,Kissen,Cut,"2,9","9,80x7,05x4,75","67,29","23,2",,,,,1,,,,,,,,"100,94"
Zultanit,Türkei,Farbwechsel,VVS,Grün-orange,transparent,oval,Cut,"2,92","9,57x7,15x5,11","27,17","9,3",,,,,1,,,,,,,,"40,76"
Zultanit,Türkei,Farbwechsel,VS,Grün-orange,transparent,Oktagon,Cut,"2,95","9,40x6,15x5,20","35,75","12,12",,,,,1,,,,,,,,"53,63"
Zultanit,Türkei,Farbwechsel,VS,,transparent,oval,Cut,"3,2","11,76x7,78x4,49","340,2","106,31",uv,,,,1,,,,,,,,"510,3"
Zultanit,Türkei,Farbwechsel,VVS,Grün-orange,transparent,Kissen,Cut,"3,62","12,77x5,93x4,86","130,44","36,03",Ebay 31.12.23,150,543,,1,,,,,,,,"195,66"
Zultanit,Türkei,Farbwechsel,VVS,Grün-orange,transparent,rund,Cut,"4,75","9,38x7,39","207,9","43,77",,,,,1,,,,,,,,"311,85"
Zultanit,Türkei,Farbwechsel,VVS,Grün-orange,transparent,rechteckig,Cut,"4,76",12x8x6,"97,55","20,49",,,,,1,,,,,,,,"146,33"
Zultanit,Türkei,Farbwechsel,VVS,Grün-orange,transparent,oval,Cut,"4,77","10,65x8,34x6,36","112,61","23,61",,,,,1,,,,,,,,"168,92"
Zultanit,Türkei,Farbwechsel,VVS,Grün-orange,transparent,oval,Cut,"4,82","10,97x8,51x6,17","94,9","19,69",,,,,1,,,,,,,,"142,35"
Zultanit,Türkei,Farbwechsel,SI,Grün-orange,transparent,rechteckig,Cut,"4,91","16,97x6,49x4,66","96,92","19,74",,,,,1,,,,,,,,"145,38"
Zultanit,Türkei,Farbwechsel,VVS,Grün-orange,transparent,rund,Cut,"4,93","10,03x6,53","166,44","33,76",,,,,1,,,,,,,,"249,66"
Zultanit,Türkei,Farbwechsel,VVS,Grün-orange,transparent,Tropfen,Cut,5,"26,30x6,10x4,50","127,68","25,54",,,,,1,,,,,,,,"191,52"
Zultanit,Türkei,Farbwechsel,VVS,Grün-orange,transparent,oval,Cut,"5,07",13x11 ,"55,61","10,97",,,,,1,,,,,,,,"83,42"
Zultanit,Türkei,Farbwechsel,VVS,Grün-orange,transparent,Kissen,Cut,"5,46","15,82x7,86x4,69","350,71","64,23",Ebay 31.12.23,180,"982,8",,1,,,,,,,,"526,07"
Zultanit,Türkei,Farbwechsel,VVS,Grün-orange,transparent,Oval,Cut,"6,89","13,50x9,59x6,59","247,79","35,96",,,,,1,,,,,,,,"371,69"
Zultanit,Türkei,Farbwechsel,VVS,Grün-orange,transparent,Oktagon,Cut,7,"15,70x6,50x5,80","583,66","83,38",Ebay 31.12.23,180,1260,,1,,,,,,,,"875,49"
Zultanit,Türkei,Farbwechsel,VVS,Grün-orange,transparent,Kissen,Cut,"7,5","15,26x8,56x5,90","303,89","40,52",,,0,,1,,,,,,,,"455,84"
Zultanit,Türkei,Farbwechsel,VVS,Grün-orange,transparent,Kissen,Cut,"8,89","16,36x9,71x5,89","333,82","37,55",ebay,450,"116,18",,1,,,,,,,,"500,73"
Zultanit,Türkei,Farbwechsel,SI,Grün-orange,transparent,Oktagon,Cut,"9,06",,"67,35","7,43",,,,,1,,,,,,,,"101,03"
Zultanit,Türkei,Farbwechsel,VVS,Grün-orange,transparent,Kissen,Cut,10,"14,53x9,54x8,08","207,79","20,78",,,,,1,,,,,,,,"311,69"
Zultanit,Türkei,Farbwechsel,VS,Grün-orange,transparent,Fancy,Cut,"10,16",17x10,"144,71","14,24",,,,,1,,,,,,,,"217,07"
